notice_id_a,notice_id_b,jaccard
N000010,N002229,0.3271484375
N000010,N002260,0.2963917525773196
N000010,N002304,0.3483652762119504
N000010,N002452,0.34035476718403546
N000010,N002463,0.32356020942408376
N000010,N002593,0.33004926108374383
N000010,N002614,0.2942643391521197
N000010,N002615,0.3530701754385965
N000010,N002696,0.31995884773662553
N000010,N002706,0.27511244377811095
N000010,N002707,0.2755255255255255
N000010,N002772,0.27087033747779754
N000010,N002787,0.3308900523560209
N000010,N002793,0.3322295805739514
N000010,N003014,0.2813588850174216
N000010,N003104,0.3446502057613169
N000010,N003107,0.32242063492063494
N000010,N003247,0.3130699088145897
N000010,N003284,0.26800929512006194
N000010,N003397,0.2633390705679862
N000010,N003456,0.33964365256124723
N000010,N003524,0.2685810810810811
N000010,N003528,0.27972027972027974
N000010,N003645,0.28904227782571185
N000010,N003663,0.28342245989304815
N000010,N003753,0.3496027241770715
N000010,N003789,0.2958579881656805
N000010,N003805,0.2997416020671835
N000010,N003827,0.3067426400759734
N000010,N003851,0.3209647495361781
N000010,N003863,0.2804878048780488
N000010,N004090,0.31845238095238093
N000010,N004303,0.32160804020100503
N000010,N004317,0.343921139101862
N000010,N004433,0.2708333333333333
N000010,N004436,0.3390191897654584
N000010,N004441,0.31031220435193946
N000010,N004474,0.26432078559738137
N000010,N004597,0.3333333333333333
N000010,N004616,0.11124401913875598
N000010,N004654,0.33881578947368424
N000010,N004674,0.34196891191709844
N000010,N004717,0.3594994311717861
N000010,N004727,0.30113141862489123
N000010,N004731,0.32861806311207836
N000010,N004733,0.29990539262062443
N000010,N004810,0.324269889224572
N000010,N004851,0.2940613026819923
N000010,N004937,0.26250962278675904
N000010,N004959,0.2671451355661882
N000010,N005053,0.33634538152610444
N000010,N005182,0.3062330623306233
N000010,N005191,0.27056110684089163
N000010,N005192,0.307
N000010,N005429,0.3105769230769231
N000010,N005446,0.34097706879361916
N000010,N005447,0.2555133079847909
N000010,N005461,0.12408759124087591
N000010,N005635,0.3131115459882583
N000010,N005747,0.3140333660451423
N000010,N005750,0.31054131054131057
N000010,N006003,0.32694355697550587
N000010,N006441,0.3351893095768374
N000010,N006523,0.3066169617893756
N000010,N006557,0.32127192982456143
N000010,N006816,0.3268671193016489
N000010,N006893,0.26905829596412556
N000010,N006899,0.268857356235997
N000010,N006919,0.2810810810810811
N000010,N006964,0.3080524344569288
N000010,N007021,0.31932773109243695
N000010,N007065,0.33369098712446355
N000010,N007145,0.2988826815642458
N000010,N007270,0.3220164609053498
N000010,N007456,0.31682146542827655
N000010,N007534,0.274294670846395
N000010,N007558,0.30931796349663787
N000010,N007574,0.3134765625
N000010,N007596,0.34358430540827145
N000010,N007680,0.3191489361702128
N000010,N007730,0.2890222984562607
N000010,N007933,0.28114478114478114
N000010,N008085,0.283471837488458
N000010,N008106,0.27359882005899705
N000010,N008108,0.27319587628865977
N000010,N008149,0.27755430410297666
N000010,N008155,0.26372832369942195
N000010,N008304,0.27364341085271315
N000010,N008308,0.27279752704791344
N000010,N008321,0.3117254528122021
N000010,N008577,0.30063006300630063
N000010,N008950,0.3240917782026769
N000010,N009071,0.2889637742207245
N000010,N009112,0.34513274336283184
N000010,N009133,0.31303520456707895
