notice_id,portal_id,configuration,candidate_count
N004988,P002,32x4,315
N005005,P002,32x4,257
N005007,P001,32x4,138
N005024,P171,32x4,0
N005027,P088,32x4,1
N005028,P196,32x4,1
N005040,P235,32x4,1
N005041,P146,32x4,1
N005044,P240,32x4,1
N005045,P242,32x4,1
N005064,P006,32x4,34
N005067,P106,32x4,1
N005072,P005,32x4,92
N005073,P061,32x4,3
N005079,P002,32x4,118
N005080,P003,32x4,119
N005081,P213,32x4,0
N005108,P003,32x4,91
N005109,P105,32x4,1
N005115,P006,32x4,14
N005119,P006,32x4,49
N005121,P232,32x4,3
N005134,P005,32x4,7
N005135,P068,32x4,1
N005137,P154,32x4,0
N005139,P006,32x4,115
N005141,P137,32x4,0
N005163,P003,32x4,118
N005168,P003,32x4,168
N005210,P191,32x4,1
N005219,P011,32x4,1
N005222,P002,32x4,108
N005225,P004,32x4,48
N005231,P136,32x4,1
N005232,P094,32x4,1
N005241,P227,32x4,3
N005242,P040,32x4,7
N005243,P004,32x4,178
N005257,P002,32x4,137
N005260,P001,32x4,143
N005262,P065,32x4,2
N005263,P005,32x4,175
N005271,P003,32x4,167
N005276,P003,32x4,73
N005277,P246,32x4,2
N005288,P005,32x4,245
N005300,P005,32x4,225
N005301,P001,32x4,216
N005304,P122,32x4,3
N005305,P094,32x4,3
N005314,P005,32x4,176
N005321,P044,32x4,2
N005322,P215,32x4,2
N005326,P064,32x4,0
N005332,P020,32x4,1
N005333,P195,32x4,1
N005334,P122,32x4,0
N005337,P003,32x4,147
N005350,P215,32x4,0
N005352,P003,32x4,79
N005365,P106,32x4,0
N005371,P003,32x4,89
N005375,P002,32x4,130
N005378,P094,32x4,2
N005379,P230,32x4,2
N005390,P100,32x4,0
N005393,P211,32x4,0
N005397,P001,32x4,319
N005398,P004,32x4,151
N005403,P003,32x4,97
N005426,P200,32x4,2
N005427,P094,32x4,2
N005431,P002,32x4,3
N005436,P003,32x4,2
N005448,P094,32x4,0
N005451,P013,32x4,1
N005452,P167,32x4,1
N005453,P207,32x4,1
N005472,P005,32x4,75
N005475,P004,32x4,44
N005484,P004,32x4,101
N005487,P089,32x4,0
N005493,P004,32x4,55
N005497,P003,32x4,29
N005508,P004,32x4,86
N005512,P232,32x4,1
N005517,P004,32x4,137
N005556,P002,32x4,128
N005618,P001,32x4,22
N005629,P005,32x4,20
N005634,P238,32x4,1
N005647,P227,32x4,0
N005654,P006,32x4,45
N005664,P120,32x4,1
N005666,P094,32x4,1
N005669,P003,32x4,87
N005676,P032,32x4,1
N005690,P158,32x4,0
N005692,P004,32x4,22
N005716,P004,32x4,106
N005743,P001,32x4,333
N005744,P004,32x4,164
N005750,P004,32x4,30
N005771,P003,32x4,121
N005772,P094,32x4,1
N005773,P198,32x4,1
N005776,P142,32x4,2
N005780,P160,32x4,0
N005787,P020,32x4,0
N005805,P001,32x4,169
N005806,P006,32x4,4
N005814,P003,32x4,17
N005818,P003,32x4,41
N005825,P215,32x4,0
N005828,P004,32x4,113
N005835,P002,32x4,228
N005843,P121,32x4,7
N005855,P214,32x4,0
N005862,P002,32x4,183
N005867,P227,32x4,0
N005873,P002,32x4,174
N005891,P001,32x4,147
N005914,P062,32x4,2
N005917,P057,32x4,2
N005926,P089,32x4,0
N005927,P001,32x4,103
N005941,P002,32x4,263
N005945,P147,32x4,2
N005946,P004,32x4,18
N005953,P040,32x4,1
N005962,P020,32x4,1
N005983,P005,32x4,211
N005985,P004,32x4,35
N005986,P002,32x4,91
N005989,P005,32x4,93
N005990,P147,32x4,2
N006004,P005,32x4,70
N006009,P006,32x4,89
N006025,P074,32x4,0
N006038,P006,32x4,82
N006041,P003,32x4,36
N006045,P002,32x4,268
N006050,P003,32x4,11
N006053,P004,32x4,47
N006064,P003,32x4,38
N006079,P021,32x4,0
N006086,P137,32x4,2
N006087,P044,32x4,2
N006099,P001,32x4,177
N006100,P191,32x4,1
N006112,P002,32x4,134
N006116,P005,32x4,16
N006121,P004,32x4,8
N006131,P141,32x4,0
N006145,P064,32x4,3
N006146,P005,32x4,237
N006150,P003,32x4,35
N006153,P004,32x4,21
N006165,P003,32x4,87
N006167,P072,32x4,0
N006170,P004,32x4,113
N006173,P056,32x4,1
N006178,P002,32x4,53
N006182,P096,32x4,4
N006198,P006,32x4,65
N006200,P003,32x4,122
N006201,P122,32x4,3
N006225,P001,32x4,118
N006227,P221,32x4,2
N006266,P004,32x4,93
N006274,P002,32x4,37
N006275,P143,32x4,0
N006280,P035,32x4,0
N006306,P004,32x4,41
N006313,P101,32x4,13
N006319,P004,32x4,235
N006324,P001,32x4,15
N006325,P073,32x4,2
N006326,P094,32x4,4
N006349,P001,32x4,155
N006359,P005,32x4,127
N006364,P013,32x4,5
N006366,P006,32x4,13
N006385,P004,32x4,109
N006396,P125,32x4,0
N006401,P003,32x4,17
N006419,P001,32x4,267
N006423,P079,32x4,2
N006425,P094,32x4,2
N006457,P003,32x4,84
N006462,P200,32x4,1
N006463,P094,32x4,1
N006470,P001,32x4,252
N006480,P005,32x4,179
N006487,P248,32x4,0
N006491,P005,32x4,127
N006510,P170,32x4,13
N006511,P115,32x4,1
N006512,P001,32x4,140
N006541,P003,32x4,38
N006544,P001,32x4,134
N006545,P156,32x4,1
N006546,P004,32x4,1
N006560,P006,32x4,179
N006564,P244,32x4,9
N006565,P227,32x4,4
N006568,P003,32x4,129
N006569,P005,32x4,247
N006570,P004,32x4,10
N006584,P224,32x4,2
N006588,P015,32x4,7
N006591,P019,32x4,0
N006596,P004,32x4,51
N006620,P003,32x4,118
N006622,P001,32x4,160
N006623,P002,32x4,283
N006638,P006,32x4,15
N006643,P005,32x4,282
N006644,P094,32x4,1
N006646,P006,32x4,78
N006662,P005,32x4,174
N006701,P086,32x4,1
N006712,P108,32x4,1
N006725,P076,32x4,1
N006728,P004,32x4,26
N006730,P006,32x4,62
N006731,P167,32x4,3
N006732,P085,32x4,3
N006759,P013,32x4,1
N006760,P002,32x4,140
N006762,P240,32x4,1
N006764,P004,32x4,34
N006774,P006,32x4,86
N006775,P046,32x4,3
N006802,P005,32x4,147
N006804,P094,32x4,1
N006807,P093,32x4,0
N006820,P135,32x4,0
N006828,P226,32x4,0
N006832,P001,32x4,36
N006856,P004,32x4,19
N006857,P094,32x4,4
N006862,P006,32x4,48
N006863,P005,32x4,287
N006886,P153,32x4,5
N006893,P003,32x4,31
N006901,P217,32x4,0
N006903,P006,32x4,40
N006905,P189,32x4,2
N006906,P129,32x4,2
N006958,P004,32x4,12
N006959,P120,32x4,1
N006976,P001,32x4,179
N006981,P068,32x4,0
N006982,P191,32x4,1
N006996,P166,32x4,0
N006998,P005,32x4,223
N007002,P005,32x4,3
N007004,P193,32x4,1
N007009,P151,32x4,4
N007012,P094,32x4,0
N007021,P003,32x4,54
N007023,P006,32x4,10
N007027,P004,32x4,12
N007029,P114,32x4,9
N007036,P061,32x4,0
N007038,P013,32x4,1
N007053,P006,32x4,96
N007057,P002,32x4,60
N007060,P135,32x4,0
N007062,P001,32x4,166
N007063,P003,32x4,44
N007064,P215,32x4,1
N007076,P156,32x4,0
N007083,P003,32x4,37
N007101,P006,32x4,21
N007104,P175,32x4,1
N007105,P105,32x4,1
N007121,P094,32x4,0
N007128,P162,32x4,0
N007145,P003,32x4,63
N007146,P136,32x4,0
N007148,P002,32x4,303
N007153,P001,32x4,263
N007166,P222,32x4,0
N007181,P089,32x4,0
N007183,P006,32x4,126
N007185,P002,32x4,242
N007188,P094,32x4,0
